"TIME","GEO","UNIT","NA_ITEM","Value","Flag and Footnotes"
"2008","European Union (current composition)","Chain linked volumes, index 2010=100","Gross domestic product at market prices","102.4",""
"2008","European Union (current composition)","Current prices, million euro","Gross domestic product at market prices","13,086,037.7",""
"2008","European Union (current composition)","Chain linked volumes (2010), million euro","Gross domestic product at market prices","13,148,284.3",""
"2008","European Union (without United Kingdom)","Chain linked volumes, index 2010=100","Gross domestic product at market prices","102.3",""
"2008","European Union (without United Kingdom)","Current prices, million euro","Gross domestic product at market prices","11,102,067.2",""
"2008","European Union (without United Kingdom)","Chain linked volumes (2010), million euro","Gross domestic product at market prices","11,248,548.5",""
"2008","European Union (15 countries)","Chain linked volumes, index 2010=100","Gross domestic product at market prices","102.4",""
"2008","European Union (15 countries)","Current prices, million euro","Gross domestic product at market prices","12,016,318.7",""
"2008","European Union (15 countries)","Chain linked volumes (2010), million euro","Gross domestic product at market prices","12,114,500.6",""
"2008","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Chain linked volumes, index 2010=100","Gross domestic product at market prices","102.5",""
"2008","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Current prices, million euro","Gross domestic product at market prices","9,501,079.3",""
"2008","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Chain linked volumes (2010), million euro","Gross domestic product at market prices","9,659,731.5",""
"2008","Euro area (19 countries)","Chain linked volumes, index 2010=100","Gross domestic product at market prices","102.6",""
"2008","Euro area (19 countries)","Current prices, million euro","Gross domestic product at market prices","9,640,650.4",""
"2008","Euro area (19 countries)","Chain linked volumes (2010), million euro","Gross domestic product at market prices","9,799,052.4",""
"2008","Euro area (12 countries)","Chain linked volumes, index 2010=100","Gross domestic product at market prices","102.5",""
"2008","Euro area (12 countries)","Current prices, million euro","Gross domestic product at market prices","9,437,993.2",""
